Priority,Area,Where it appears,Type,Current text,Your new text,Notes
1,Deadlines,cycle_settings: step_deadlines,Setting (dates),1: 2027-01-15 | 2: 2027-01-31 | 3: 2027-01-31 | 4: 2027-03-01 | 5: 2027-03-15 | 6: 2027-03-15 | 7: 2027-04-15,,Placeholders I invented — all seven need your real dates. Shown on every step page.
1,General,cycle_settings: contact_email,Setting,info@launchpadphilly.org,,Shown on every step and in error messages. The PRD also names apply@launchpadphilly.org — decide which applicants should see.
1,Parent form,cycle_settings: parent_form_consent_text,Setting (legal),TBD — consent language pending review (see PRD),,"The text parents e-sign. PRD has a proposed draft covering records release, permission to apply, data use, and SMS consent. Needs review by whoever owns records-release consent today."
1,Program info,cycle_settings: summer_dates,Setting,TBD — set in admin settings,,"Shown to parents in the availability question, e.g. 'June 22 – July 31, 2027'."
1,Program info,cycle_settings: summer_location,Setting,"801 Market St, Philadelphia, PA",,Confirm for this cycle.
1,Program info,cycle_settings: program_info_lightspeed,Setting,TBD — Lightspeed program description,,"Shown on Step 1 when a student picks Lightspeed, and to parents who ask to learn more."
1,Program info,cycle_settings: program_info_foundations,Setting,TBD — Foundations program description,,"Same, for Foundations."
1,Step 3,Video option — NOT BUILT,Decision needed,Applicants may email a video instead of writing,,"Carried in the PRD from the paper form. Tell me whether beta should offer it and to which address, and I'll build it."
1,Step 3,essay_prompts row 1 (sort_order 1),Essay prompt,Why do you want to join Launchpad?,,"Beta placeholder. Replace with the scaffolded set — one row per sub-question, in order. Pure data: no code change or deploy."
1,Step 3,essay_prompts — add rows below,Essay prompt,"(add as many as you need, numbered in order)",,PRD: decompose the two long 300–500 word prompts into smaller directed sub-questions.
1,Steps 5 & 6,cycle_settings: c2l_application_url,Setting (URL),(empty),,C2LPHL application link. The button stays hidden until this is filled in.
1,Steps 5 & 6,cycle_settings: c2l_documents_url,Setting (URL),(empty),,C2LPHL document-upload link. Same — hidden until filled.
2,Step 1 form,step1-form.tsx,Field label,Legal first name,,
2,Step 1 form,step1-form.tsx,Field label,Legal last name,,
2,Step 1 form,step1-form.tsx,Field label,Preferred name,,
2,Step 1 form,step1-form.tsx,Field label,Email,,
2,Step 1 form,step1-form.tsx,Field label,Phone number,,
2,Step 1 form,step1-form.tsx,Field label,Street address,,
2,Step 1 form,step1-form.tsx,Field label,Street address line 2,,
